Avis,Ordre,Description,Poste technique,Désignation du poste technique,Poste travail princ.,Divis. planification,Groupe gestionnaires,Statut système,Statut utilisateur,Type de travail,Type d'avis,Priorité,Texte de la priorité,Type de priorité,Auteur de l'avis,Créé par,Créé le,Créé à,Date de l'avis,Heure de l'avis,Modifié par,Date de modification,Heure modification,Début souhaité,Heure début souhaitée,Date de la clôture,Heure de clôture,Zone de tri,Centre de coûts,Pompe
13152597,4002285590.0,préventif (1 an) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:40,2026-07-10 00:00:00,14:40:40,,,00:00:00,2027-07-19 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
12807888,4001952805.0,préventif (1 an) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:10,2026-05-25 00:00:00,09:52:10,,,00:00:00,2027-05-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
12807731,4001952608.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:02,2026-05-25 00:00:00,09:52:02,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
13152432,4002285363.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:32,2026-07-10 00:00:00,14:40:32,,,00:00:00,2026-10-19 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
13434282,4002532361.0,préventif (3 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-08-19,08:03:35,2026-08-19 00:00:00,08:03:35,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
11699620,4000023785.0,préventif (6 mois) moteur MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-0MOTEUR,MOTEUR ELECTRIQUE MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,LABIBI,2025-12-08,11:56:14,2025-12-08 00:00:00,11:56:12,,,00:00:00,2025-11-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-M,SF01PEAUMR,2
13152895,4002285944.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:51,2026-07-10 00:00:00,14:40:51,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-D,SF01PEAUMR,2
12808078,4001953005.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-05-25,09:52:21,2026-05-25 00:00:00,09:52:21,,,00:00:00,2026-11-29 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-D,SF01PEAUMR,2
11699577,4000023488.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,,,P1,,LABIBI,2025-12-08,11:56:10,2025-12-08 00:00:00,11:56:09,,,00:00:00,2025-11-30 00:00:00,00:00:00,,00:00:00,S-PC-924IP02A-D,SF01PEAUMR,2
11922064,4001060157.0,préventif des cellules MT,SF01-UT-FDEM-BASSIN-0IP02A-GMOT-DEPARTM,DEPART MOTEUR MT,SF1-ECU,SF01,GM7,AENC OAFF,,360.0,ZP,3.0,Dans un mois,P1,,BENMOUSSA1,2026-01-12,16:14:03,2026-01-12 00:00:00,16:14:03,BENMOUSSA1,2026-08-27 00:00:00,17:03:11,2026-08-27 00:00:00,17:03:11,,00:00:00,S-PC-924IP02A-D,SF01PEAUMR,2
13452254,4002549101.0,LUBRIFICATION DES PALIERS,SF01-UT-FDEM-BASSIN-0IP02B,MOTOPOMPE EAU MER VERS SEM2 IPO2B,SF1-MCU,SF01,GM4,AENC OAFF,,350.0,ZP,,,P1,,FATHELLAH,2026-08-24,10:22:01,2026-08-24 00:00:00,10:22:01,,,00:00:00,2026-09-07 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 02B,SF01PEAUMR,2
13497605,4002591496.0,LUBRIFICATION DES PALIERS,SF01-UT-FDEM-BASSIN-0IP02B,MOTOPOMPE EAU MER VERS SEM2 IPO2B,SF1-MCU,SF01,GM4,AENC OAFF,,350.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:07,2026-08-29 00:00:00,15:27:07,,,00:00:00,2026-09-14 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 02B,SF01PEAUMR,2
13497606,4002591497.0,OMS_MESURE VIBRATOIRE PALIERS,SF01-UT-FDEM-BASSIN-0IP02B,MOTOPOMPE EAU MER VERS SEM2 IPO2B,SF1-MCU,SF01,GM4,AENC OAFF,,290.0,ZP,,,P1,,FATHELLAH,2026-08-29,15:27:07,2026-08-29 00:00:00,15:27:07,,,00:00:00,2026-09-13 00:00:00,00:00:00,,00:00:00,S-PC-P924 IP 02B,SF01PEAUMR,2
13152646,4002285653.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP02B-CRSV-924FT402,DEBIT REFOULEMENT PPE IP02/AB,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:42,2026-07-10 00:00:00,14:40:42,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924 FIT 402 E,SF01PEAUMR,2
13152683,4002285703.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP02B-CRSV-924PT007,PRESSION EAU DE MER DES POMPES  IP02A/B,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:43,2026-07-10 00:00:00,14:40:43,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924 PT 007 E,SF01PEAUMR,2
13152716,4002285751.0,Préventif systématique,SF01-UT-FDEM-BASSIN-0IP02B-CRSV-924TT111,T°EAU DE MER  DES POMPES  IP02A/B,SF1-RCU,SF01,GM0,AENC OAFF,,360.0,ZP,,,P1,,BENMOUSSA1,2026-07-10,14:40:44,2026-07-10 00:00:00,14:40:44,,,00:00:00,2027-01-18 00:00:00,00:00:00,,00:00:00,S-PC-924 TT 111 E,SF01PEAUMR,2
